Category,Variable Name,Data Type,Description,Variable Values
,patient_id,int,Patient ID,int
,survey_date,date,date survey was completed,
Profile,gender,smallint,Gender,"0=Male, 1=Female, -1=none selected"
,age,int,Age,number
,height_ft,int,Height feet,int
,height_in,int,Height inches,int
,weight_lbs,int,Weight lbs,int
,use_cane,smallint,"Do you use a cane, walker, wheelchair, or scooter now?","1=Yes, 0=No, -1=none selected"
,surg_plan,smallint,Do you plan to have a surgery in the next 6 months?,"1=Yes, 0=No, -1=none selected"
,surg_plan_text,nvarchar,"If YES, please explain.",text
Smoking status,cig_smoker,smallint,Are you a cigarette smoker?,"1=Yes, 0=No, -1=none selected"
,smoke_yr,int,"If YES, how many years have you smoked?",number
,cig_packs_day,"numeric(9,4)","On average, how many packs of cigarettes do you smoke per day?",number
,past_smoker,smallint," If NO, did you smoke in the past?","1=Yes, 0=No, -1=none selected"
Quality of life,KOOS_knee_problem_awareness,smallint,How often are you aware of your knee problem?,"1=Never, 2=Monthly, 3=Weekly, 4=Daily, 5=Constantly, -1=none selected"
,KOOS_modified_lifestyle,smallint,Have you modified your life style to avoid potentially damaging activities to your knee?,"1=Not at all, 2=Mildly, 3=Moderately, 4=Severely, 5=Totally, -1=none selected"
,KOOS_lack_confidence,smallint,How much are you troubled with lack of confidence in your knee?,"1=Not at all, 2=Mildly, 3=Moderately, 4=Severely, 5=Extremely, -1=none selected"
,KOOS_difficulty_general,smallint,"In general, how much difficulty do you have with your knee?","1=None, 2=Mild, 3=Moderate, 4=Severe, 5=Extreme, -1=none selected"
General health,health_general_vr,smallint,"In general, would you say your health is?","1=Excellent, 2=Very Good, 3=Good, 4=Fair, 5=Poor, -1 = None Selected"
Comorbidity,,,The following questions are to determine if you have additional concerns that affect your health and function.,
,MCCOM_obs_plum_dis,smallint,Have you been diagnosed with: Chronic Obstructive Pulmonary Disease (chronic bronchitis and/or emphysema),"Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_conn_tiss_dis,smallint,"Have you been diagnosed with: Connective Tissue Disease: such as lupus, rheumatoid arthritis, scleroderma, polymyositis, dermatomysitis","Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_diabetes,smallint,Have you been diagnosed with: Diabetes,"Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_cancer,smallint,Have you been diagnosed with: Cancer - a malignant growth or tumor,"Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_liver,smallint,Have you been diagnosed with: Liver Disease,"Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_peri_vasc_dis,smallint,"Have you been diagnosed with: Peripheral Vascular Disease - narrowing of vessels that carry blood to the legs, arms, stomach or kidneys","Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_kidney,smallint,Have you been diagnosed with: Kidney Disease,"Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_ulcer,smallint,Have you been diagnosed with: Ulcer Disease,"Yes=1, No=0, Don't Know=2, -1=none selected"
,MCCOM_aids,smallint,Have you been diagnosed with: AIDS,"Yes=1, No=0, Don't Know=2, -1=none selected"
